name,nameWithOwner,createdAt,stargazers.totalCount,url,totalReleases,mediaReleaseDays
CS-Notes,CyC2018/CS-Notes,2018-02-13T14:56:24Z,112106,https://github.com/CyC2018/CS-Notes,0,0
JavaGuide,Snailclimb/JavaGuide,2018-05-07T13:27:00Z,89074,https://github.com/Snailclimb/JavaGuide,0,0
java-design-patterns,iluwatar/java-design-patterns,2014-08-09T16:45:18Z,60997,https://github.com/iluwatar/java-design-patterns,0,0
LeetCodeAnimation,MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,59675,https://github.com/MisterBooo/LeetCodeAnimation,0,0
elasticsearch,elastic/elasticsearch,2010-02-08T13:20:56Z,51516,https://github.com/elastic/elasticsearch,33,0.008475105743292211
spring-boot,spring-projects/spring-boot,2012-10-19T15:02:57Z,50946,https://github.com/spring-projects/spring-boot,70,0.024057235197086788
interviews,kdn251/interviews,2017-02-14T18:19:25Z,48111,https://github.com/kdn251/interviews,0,0
advanced-java,doocs/advanced-java,2018-10-06T11:38:30Z,47683,https://github.com/doocs/advanced-java,0,0
RxJava,ReactiveX/RxJava,2013-01-08T20:11:48Z,43550,https://github.com/ReactiveX/RxJava,201,0.07106311903704864
mall,macrozheng/mall,2018-04-04T01:11:44Z,41764,https://github.com/macrozheng/mall,1,0.001090150208526025
spring-framework,spring-projects/spring-framework,2010-12-08T04:04:45Z,39567,https://github.com/spring-projects/spring-framework,188,0.05235102077768974
guava,google/guava,2014-05-29T16:23:17Z,38959,https://github.com/google/guava,29,0.012485621290792748
okhttp,square/okhttp,2012-07-23T13:42:55Z,38374,https://github.com/square/okhttp,0,0
retrofit,square/retrofit,2010-09-06T21:39:43Z,36678,https://github.com/square/retrofit,27,0.00733008055483501
dubbo,apache/dubbo,2012-06-19T07:56:02Z,33711,https://github.com/apache/dubbo,27,0.008904942650006922
MPAndroidChart,PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,31839,https://github.com/PhilJay/MPAndroidChart,44,0.0186697736920939
Java,TheAlgorithms/Java,2016-07-16T10:21:02Z,30678,https://github.com/TheAlgorithms/Java,0,0
